"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 01월 19일","41,677.8","42,365.3","42,558.0","41,160.9","53.77K","-1.62%"
"2022년 01월 18일","42,364.6","42,209.9","42,674.2","41,300.7","47.32K","0.37%"
"2022년 01월 17일","42,209.3","43,080.5","43,179.6","41,559.4","41.44K","-2.02%"
"2022년 01월 16일","43,079.1","43,079.2","43,462.0","42,643.3","28.66K","-0.04%"
"2022년 01월 15일","43,097.0","43,073.6","43,777.9","42,586.1","31.44K","0.06%"
"2022년 01월 14일","43,073.3","42,562.2","43,435.1","41,848.7","50.50K","1.21%"
"2022년 01월 13일","42,560.0","43,900.0","44,404.7","42,337.5","53.42K","-3.05%"
"2022년 01월 12일","43,901.0","42,735.0","44,243.6","42,476.7","53.95K","2.73%"
"2022년 01월 11일","42,733.2","41,829.1","43,090.2","41,287.6","61.78K","2.15%"
"2022년 01월 10일","41,832.2","41,848.9","42,243.8","39,697.0","85.50K","-0.04%"
"2022년 01월 09일","41,848.3","41,681.2","42,764.4","41,260.9","37.51K","0.42%"
"2022년 01월 08일","41,672.0","41,551.3","42,304.4","40,574.3","52.54K","0.30%"
"2022년 01월 07일","41,546.7","43,097.9","43,127.7","40,810.0","88.36K","-3.60%"
"2022년 01월 06일","43,097.5","43,431.6","43,772.3","42,481.1","63.08K","-0.76%"
"2022년 01월 05일","43,425.9","45,833.1","47,019.4","42,535.1","83.74K","-5.26%"
"2022년 01월 04일","45,837.3","46,435.7","47,505.4","45,602.1","55.59K","-1.28%"
"2022년 01월 03일","46,430.2","47,293.9","47,556.0","45,704.0","41.06K","-1.86%"
"2022년 01월 02일","47,311.8","47,738.7","47,944.9","46,718.2","27.02K","-0.89%"
"2022년 01월 01일","47,738.0","46,217.5","47,917.6","46,217.5","31.24K","3.29%"
"2021년 12월 31일","46,219.5","47,123.3","48,553.9","45,693.6","58.18K","-1.92%"
"2021년 12월 30일","47,123.3","46,470.7","47,901.4","46,003.0","60.96K","1.42%"
"2021년 12월 29일","46,461.7","47,548.4","48,121.7","46,127.8","63.92K","-2.28%"
"2021년 12월 28일","47,545.2","50,703.4","50,703.8","47,345.7","74.39K","-6.18%"
"2021년 12월 27일","50,678.2","50,783.6","52,016.3","50,459.0","43.90K","-0.20%"
"2021년 12월 26일","50,779.9","50,404.0","51,247.0","49,527.0","32.34K","0.74%"
"2021년 12월 25일","50,406.4","50,789.6","51,140.2","50,196.8","26.67K","-0.75%"
"2021년 12월 24일","50,786.1","50,807.4","51,795.3","50,428.4","45.97K","-0.03%"
"2021년 12월 23일","50,801.0","48,599.6","51,355.6","48,053.4","56.24K","4.53%"
"2021년 12월 22일","48,599.7","48,898.7","49,540.3","48,449.7","40.89K","-0.62%"
"2021년 12월 21일","48,902.0","46,900.1","49,306.1","46,654.0","57.88K","4.28%"
"2021년 12월 20일","46,895.2","46,703.4","47,488.9","45,577.3","57.53K","0.41%"
"2021년 12월 19일","46,704.5","46,855.7","48,270.2","46,438.4","44.05K","-0.32%"
"2021년 12월 18일","46,856.2","46,171.8","47,330.2","45,513.4","36.93K","1.48%"
"2021년 12월 17일","46,172.2","47,630.4","47,997.2","45,523.8","67.50K","-3.06%"
"2021년 12월 16일","47,628.2","48,876.6","49,387.8","47,543.9","48.20K","-2.54%"
"2021년 12월 15일","48,871.5","48,366.2","49,477.9","46,572.6","80.28K","1.04%"
"2021년 12월 14일","48,366.5","46,709.8","48,635.0","46,338.3","62.54K","3.56%"
"2021년 12월 13일","46,703.6","50,075.9","50,196.1","45,848.2","80.37K","-6.74%"
"2021년 12월 12일","50,081.0","49,332.5","50,779.2","48,670.5","40.30K","1.55%"
"2021년 12월 11일","49,314.5","47,138.4","49,487.0","46,834.0","45.23K","4.62%"
"2021년 12월 10일","47,137.2","47,591.7","49,974.8","47,007.1","68.06K","-0.97%"
"2021년 12월 09일","47,596.6","50,477.6","50,790.2","47,341.9","58.69K","-5.70%"
"2021년 12월 08일","50,473.9","50,596.6","51,204.7","48,700.7","55.59K","-0.24%"
"2021년 12월 07일","50,595.2","50,547.4","51,918.6","50,070.9","56.29K","0.07%"
"2021년 12월 06일","50,562.1","49,412.1","50,913.3","47,237.9","89.68K","2.34%"
"2021년 12월 05일","49,405.5","49,196.4","49,689.3","47,797.8","72.03K","0.43%"
"2021년 12월 04일","49,195.2","53,620.7","53,847.2","42,587.8","168.00K","-8.27%"
"2021년 12월 03일","53,631.5","56,495.2","57,543.6","52,008.9","89.20K","-5.07%"
"2021년 12월 02일","56,496.0","57,207.8","57,377.5","55,807.9","54.94K","-1.25%"
"2021년 12월 01일","57,210.3","56,891.7","59,064.3","56,496.5","66.75K","0.58%"
"2021년 11월 30일","56,882.9","57,795.2","59,174.4","55,936.9","73.66K","-1.58%"
"2021년 11월 29일","57,794.8","57,288.1","58,855.2","56,726.7","58.65K","0.88%"
"2021년 11월 28일","57,291.5","54,758.0","57,392.3","53,448.3","49.28K","4.61%"
"2021년 11월 27일","54,765.9","53,747.2","55,280.3","53,654.3","40.71K","1.93%"
"2021년 11월 26일","53,730.9","58,937.3","59,151.1","53,533.5","104.03K","-8.83%"
"2021년 11월 25일","58,935.1","57,167.1","59,387.3","57,029.8","56.79K","3.08%"
"2021년 11월 24일","57,171.7","57,559.4","57,697.4","55,910.6","56.68K","-0.70%"
"2021년 11월 23일","57,573.2","56,304.8","57,855.1","55,542.5","72.48K","2.25%"
"2021년 11월 22일","56,308.8","58,719.7","59,288.3","55,656.8","76.45K","-4.10%"
"2021년 11월 21일","58,714.3","59,724.0","60,002.6","58,528.3","40.98K","-1.68%"
"2021년 11월 20일","59,717.6","58,080.8","59,854.6","57,435.3","44.53K","2.81%"
"2021년 11월 19일","58,083.4","56,908.3","58,335.9","55,626.3","74.44K","1.98%"
"2021년 11월 18일","56,955.3","60,368.2","60,936.9","56,524.4","100.37K","-5.65%"
"2021년 11월 17일","60,367.8","60,074.2","60,814.5","58,531.9","73.93K","0.46%"
"2021년 11월 16일","60,089.1","63,605.1","63,605.6","58,655.9","115.36K","-5.52%"
"2021년 11월 15일","63,597.9","65,514.9","66,311.2","63,439.5","53.53K","-2.92%"
"2021년 11월 14일","65,508.2","64,397.2","65,508.2","63,608.3","33.98K","1.72%"
"2021년 11월 13일","64,398.6","64,133.3","64,906.0","63,381.4","30.34K","0.41%"
"2021년 11월 12일","64,134.5","64,782.6","65,449.7","62,309.7","63.27K","-1.04%"
"2021년 11월 11일","64,806.7","64,922.8","65,583.3","64,121.9","50.37K","-0.19%"
"2021년 11월 10일","64,932.6","66,942.6","68,990.6","62,951.3","96.21K","-2.95%"
"2021년 11월 09일","66,904.4","67,528.7","68,493.3","66,334.9","66.13K","-0.92%"
"2021년 11월 08일","67,527.9","63,276.4","67,763.3","63,276.4","81.08K","6.72%"
"2021년 11월 07일","63,273.2","61,483.8","63,273.2","61,347.2","34.34K","2.91%"
"2021년 11월 06일","61,483.9","60,973.2","61,543.2","60,093.6","34.89K","0.84%"
"2021년 11월 05일","60,974.3","61,411.5","62,560.3","60,742.4","44.46K","-0.71%"
"2021년 11월 04일","61,412.6","62,915.4","63,077.6","60,742.9","49.91K","-2.39%"
"2021년 11월 03일","62,918.5","63,223.5","63,508.6","60,883.0","61.05K","-0.48%"
"2021년 11월 02일","63,221.7","60,912.2","64,256.4","60,651.5","65.26K","3.79%"
"2021년 11월 01일","60,915.3","61,310.1","62,430.1","59,612.7","61.21K","-0.64%"
"2021년 10월 31일","61,309.6","61,842.2","62,393.7","60,005.7","50.06K","-0.86%"
"2021년 10월 30일","61,840.1","62,245.0","62,338.5","60,786.0","40.51K","-0.65%"
"2021년 10월 29일","62,242.8","60,579.9","62,952.2","60,322.2","63.39K","2.74%"
"2021년 10월 28일","60,582.5","58,437.2","62,251.3","58,128.1","88.47K","3.67%"
"2021년 10월 27일","58,438.1","60,312.5","61,452.9","58,112.6","88.11K","-3.11%"
"2021년 10월 26일","60,310.8","63,067.5","63,275.1","59,907.3","57.13K","-4.37%"
"2021년 10월 25일","63,067.0","60,864.3","63,694.8","60,655.8","51.06K","3.62%"
"2021년 10월 24일","60,866.5","61,308.2","61,469.9","59,523.7","42.67K","-0.73%"
"2021년 10월 23일","61,312.5","60,693.2","61,728.7","59,738.3","37.05K","1.03%"
"2021년 10월 22일","60,690.3","62,200.8","63,699.7","60,055.7","75.69K","-2.44%"
"2021년 10월 21일","62,210.2","66,004.6","66,616.9","62,092.1","105.38K","-5.71%"
"2021년 10월 20일","65,979.1","64,276.9","66,967.1","63,543.7","79.87K","2.65%"
"2021년 10월 19일","64,278.5","62,030.2","64,454.0","61,451.0","80.16K","3.58%"
"2021년 10월 18일","62,056.3","61,525.8","62,623.6","60,026.9","80.15K","0.86%"
"2021년 10월 17일","61,527.5","60,865.5","61,651.4","59,143.4","53.39K","1.09%"
"2021년 10월 16일","60,861.1","61,669.2","62,329.2","60,161.9","49.93K","-1.32%"
"2021년 10월 15일","61,672.5","57,348.2","62,892.8","56,874.8","121.48K","7.54%"
"2021년 10월 14일","57,345.8","57,370.4","58,506.5","56,866.8","59.84K","-0.06%"
"2021년 10월 13일","57,380.1","56,014.5","57,697.4","54,314.4","73.62K","2.44%"
"2021년 10월 12일","56,015.9","57,480.6","57,635.7","54,155.4","74.85K","-2.54%"
"2021년 10월 11일","57,477.3","54,686.9","57,814.1","54,457.8","73.84K","5.10%"
"2021년 10월 10일","54,687.7","54,942.5","56,432.2","54,100.8","104.43K","-0.46%"
"2021년 10월 09일","54,942.5","53,924.1","55,430.8","53,711.7","64.65K","1.91%"
"2021년 10월 08일","53,914.7","53,785.5","55,977.9","53,659.3","64.05K","0.24%"
"2021년 10월 07일","53,783.9","55,325.2","55,325.6","53,476.4","75.68K","-2.78%"
"2021년 10월 06일","55,323.2","51,470.0","55,676.1","50,439.5","116.26K","7.49%"
"2021년 10월 05일","51,469.3","49,229.5","51,872.4","49,060.1","76.63K","4.55%"
"2021년 10월 04일","49,227.3","48,200.4","49,481.7","46,958.6","66.92K","2.13%"
"2021년 10월 03일","48,200.1","47,665.4","49,165.2","47,123.0","42.41K","1.12%"
"2021년 10월 02일","47,666.9","48,147.2","48,306.9","47,451.7","39.82K","-1.00%"
"2021년 10월 01일","48,146.0","43,824.4","48,435.2","43,292.9","94.66K","9.86%"
"2021년 09월 30일","43,823.3","41,534.5","44,101.2","41,416.7","64.32K","5.50%"
"2021년 09월 29일","41,536.8","41,023.1","42,571.2","40,815.0","48.21K","1.25%"
"2021년 09월 28일","41,022.3","42,169.9","42,758.8","40,906.4","60.01K","-2.73%"
"2021년 09월 27일","42,172.6","43,200.9","44,293.2","42,143.9","54.12K","-2.39%"
"2021년 09월 26일","43,203.4","42,685.8","43,907.3","40,786.6","69.91K","1.21%"
"2021년 09월 25일","42,686.8","42,818.7","42,959.3","41,714.5","46.35K","-0.31%"
"2021년 09월 24일","42,819.9","44,867.4","45,112.0","40,908.5","128.88K","-4.57%"
"2021년 09월 23일","44,869.2","43,550.7","44,949.8","43,090.1","74.54K","3.03%"
"2021년 09월 22일","43,551.6","40,660.8","43,976.7","40,585.7","93.98K","7.13%"
"2021년 09월 21일","40,651.3","43,012.3","43,619.3","39,646.8","142.55K","-5.18%"
"2021년 09월 20일","42,870.6","47,240.8","47,323.9","42,547.1","77.96K","-9.25%"
"2021년 09월 19일","47,238.7","48,299.9","48,341.9","46,866.6","41.98K","-2.21%"
"2021년 09월 18일","48,306.7","47,283.9","48,761.0","47,070.5","43.64K","2.17%"
"2021년 09월 17일","47,282.8","47,748.2","48,155.9","46,788.8","50.16K","-0.97%"
"2021년 09월 16일","47,748.0","48,132.3","48,480.6","47,040.3","60.91K","-0.80%"
"2021년 09월 15일","48,130.6","47,070.8","48,436.5","46,743.9","63.40K","2.24%"
"2021년 09월 14일","47,077.5","44,950.2","47,247.6","44,718.7","65.33K","4.73%"
"2021년 09월 13일","44,949.5","46,060.8","46,807.7","43,463.2","96.15K","-2.42%"
"2021년 09월 12일","46,062.3","45,162.6","46,386.4","44,755.2","44.52K","1.99%"
"2021년 09월 11일","45,161.9","44,844.9","45,975.6","44,766.6","41.58K","0.71%"
"2021년 09월 10일","44,842.8","46,385.9","47,021.6","44,283.6","75.62K","-3.33%"
"2021년 09월 09일","46,385.6","46,057.6","47,305.7","45,609.0","73.63K","0.70%"
"2021년 09월 08일","46,061.4","46,774.1","47,316.9","44,493.7","100.48K","-1.54%"
"2021년 09월 07일","46,779.6","52,674.2","52,885.3","43,072.4","187.56K","-11.19%"
"2021년 09월 06일","52,672.1","51,769.4","52,726.2","51,002.8","69.46K","1.75%"
"2021년 09월 05일","51,768.6","49,918.7","51,878.2","49,492.4","57.30K","3.71%"
"2021년 09월 04일","49,918.4","49,999.3","50,534.6","49,461.4","48.14K","-0.16%"
"2021년 09월 03일","49,999.0","49,269.5","51,008.8","48,377.3","88.08K","1.47%"
"2021년 09월 02일","49,274.3","48,817.8","50,355.3","48,612.9","80.21K","0.93%"
"2021년 09월 01일","48,819.4","47,129.2","49,121.0","46,533.1","74.38K","3.58%"
"2021년 08월 31일","47,130.4","46,989.1","48,217.0","46,709.3","71.48K","0.29%"
"2021년 08월 30일","46,992.7","48,777.1","48,886.0","46,876.9","61.68K","-3.66%"
"2021년 08월 29일","48,777.4","48,899.7","49,621.7","47,870.1","47.62K","-0.24%"
"2021년 08월 28일","48,897.1","49,062.8","49,289.4","48,428.5","36.73K","-0.34%"
"2021년 08월 27일","49,064.3","46,830.2","49,142.0","46,371.5","62.47K","4.77%"
"2021년 08월 26일","46,831.6","48,994.4","49,347.8","46,360.4","73.79K","-4.41%"
"2021년 08월 25일","48,994.5","47,707.4","49,230.2","47,163.3","63.54K","2.68%"
"2021년 08월 24일","47,714.7","49,532.5","49,847.4","47,623.6","74.26K","-3.68%"
"2021년 08월 23일","49,539.7","49,255.4","50,498.8","49,038.6","75.37K","0.58%"
"2021년 08월 22일","49,254.5","48,870.4","49,480.3","48,151.0","49.32K","0.77%"
"2021년 08월 21일","48,875.8","49,330.0","49,719.1","48,293.5","18.20K","-0.91%"
"2021년 08월 20일","49,324.0","46,756.7","49,343.3","46,646.8","83.19K","5.49%"
"2021년 08월 19일","46,755.9","44,725.9","47,012.3","43,986.7","77.92K","4.54%"
"2021년 08월 18일","44,723.8","44,691.1","46,004.9","44,230.0","22.36K","0.07%"
"2021년 08월 17일","44,691.6","45,907.5","47,140.6","44,441.3","84.14K","-2.84%"
"2021년 08월 16일","45,996.3","46,991.6","48,002.4","45,672.1","2.41K","-2.12%"
"2021년 08월 15일","46,991.3","47,082.6","47,344.1","45,564.1","58.11K","-0.19%"
"2021년 08월 14일","47,081.5","47,809.6","48,090.9","46,117.2","64.29K","-1.52%"
"2021년 08월 13일","47,809.1","44,404.0","47,836.0","44,242.4","75.27K","7.67%"
"2021년 08월 12일","44,403.4","45,562.3","46,213.8","43,814.7","81.07K","-2.55%"
"2021년 08월 11일","45,564.3","45,593.2","46,736.5","45,367.9","75.43K","-0.06%"
"2021년 08월 10일","45,593.8","46,281.8","46,663.4","44,681.2","80.55K","-1.49%"
"2021년 08월 09일","46,284.3","43,794.9","46,460.7","42,824.1","117.08K","5.69%"
"2021년 08월 08일","43,792.8","44,584.9","45,284.1","43,314.4","105.25K","-1.84%"
"2021년 08월 07일","44,614.2","42,784.7","44,697.3","42,611.0","112.84K","4.25%"
"2021년 08월 06일","42,795.4","40,868.4","43,253.4","39,905.4","111.93K","4.72%"
